address,long,lat
"56 Albany Highway, WILLIAMS , Western Australia",116.8859415,-33.0389233
"1 Morwell Street, YANCHEP , Western Australia",115.6440644,-31.5510204
"289 Beeliar Drive, YANGEBUP , Western Australia",115.8118548,-32.1282855
"12-14 Cajarina Road (Cnr Pardoo Street), WEDGEFIELD , Western Australia",,
"119 Kurnall Road, WELSHPOOL , Western Australia",115.9551381,-31.9953692
"259 Bussell Highway, WEST BUSSELTON , Western Australia",115.3203259,-33.6559696
"11 Shorehaven Bvd, ALKIMOS , Western Australia",115.677602,-31.6011275
"Cnr Grand Ent & The Promenade, AUSTRALIND , Western Australia",,
"317 Millhouse Road, AVELEY , Western Australia",115.9947283,-31.774496
"5 Hamelin Drive, BALLAJURA , Western Australia",115.9149094,-31.8475193
"162 Chester Pass Road, LANGE , Western Australia",117.8748242,-34.9910495
"Lot 68 Pennant Road, EAST BUNBURY , Western Australia",115.6576472,-33.3368879
"36 Duchess Street, BUSSELTON , Western Australia",115.3454967,-33.6486134
"15 Sarah Cl, CANNING VALE , Western Australia",115.9256016,-32.0733383
"25 Cecil Ave, CANNINGTON , Western Australia",115.9381628,-32.0166767
"90 Robinson Street, CARNARVON , Western Australia",113.660498,-24.880325
"1244 Marmion Ave, CURRAMBINE , Western Australia",115.739627,-31.7404588
"372 Grand Prom, DIANELLA , Western Australia",115.87160093917628,-31.89656205
"106 Frederick Street, DJUGUN , Western Australia",122.2285872,-17.9515577
"2 Recreation Drive, EATON , Western Australia",115.7175548,-33.3189212
"11 Main Street, ELLENBROOK , Western Australia",115.9715312,-31.7818962
"651 Old Coast Road, FALCON , Western Australia",115.6580664,-32.5862908
"5 Howtree Pl, FLOREAT , Western Australia",115.7929688,-31.9372711
"78C Hale Road, FORRESTFIELD , Western Australia",115.9995538,-31.9904816
"59 Cathedral Ave, GERALDTON , Western Australia",114.6111008,-28.7758017
"37 Canham Way, GREENWOOD , Western Australia",115.82043008021796,-31.82173015
"189 Winton Road, JOONDALUP , Western Australia",115.7627182,-31.7442742
"104 Brookman Street, KALGOORLIE , Western Australia",121.47451,-30.7436602
"Lot 1437 Warambie Road, KARRATHA , Western Australia",,
"6 Chisham Ave, KWINANA TOWN CENTRE , Western Australia",115.8123954,-32.244183
"77 Attfield Street, MADDINGTON , Western Australia",115.9765174,-32.0502208
"207 Burslem Drive, MADDINGTON , Western Australia",115.977118,-32.0491828
"168 Wanneroo Road (opp Giralt Road), MADELEY , Western Australia",,
"330 Pinjarra Road, MANDURAH , Western Australia",115.74335052828746,-32.5362034
"10-12 Magenta Tce, MANDURAH , Western Australia",115.7401445,-32.5096085
"89 Mottram Street, MANJIMUP , Western Australia",116.1439491,-34.2488897
"53 Yirrigan Drive, MIRRABOOKA , Western Australia",115.8614389,-31.8741582
"60 Russell Street, MORLEY , Western Australia",115.8947289,-31.8965761
"86 Wellington Street, NORTHAM , Western Australia",116.6752783,-31.6497852
"401 Scarborough Beach Road, OSBORNE PARK , Western Australia",115.8005736,-31.9036488
"150 Anderson Street, PORT HEDLAND , Western Australia",118.5767464,-20.3130781
"12 Saltaire Way, PORT KENNEDY , Western Australia",115.7555241,-32.3722098
"219 Hampton Road, SOUTH FREMANTLE , Western Australia",115.7575207,-32.0677524
"752 North Lake Road, SOUTH LAKE , Western Australia",115.8331338,-32.1126549
"466 Warton Road, SOUTHERN RIVER , Western Australia",115.942496,-32.0902892
"202 Warnbro Sound Ave, WARNBRO , Western Australia",115.7620008,-32.358132
"470 Whitfords Ave, HILLARYS , Western Australia",115.74564767099083,-31.79742605
"20 Windsor Road, WELLSTEAD , Western Australia",118.6095626,-34.4906445
"6672 Bussell Highway, CARBUNUP RIVER , Western Australia",,
"1014 North West Coastal Highway, BROWN RANGE , Western Australia",113.7019795,-24.8628973
"57 Goldfields Road, CASTLETOWN , Western Australia",121.9088519,-33.8371734
"16 Flinders Cct, CHADWICK , Western Australia",121.8816054,-33.842757
"12 Bald Island Road, CHEYNES , Western Australia",118.4062672,-34.8839219
"570 Rosedale Road, CHIDLOW , Western Australia",116.2423742,-31.84169
"342 Albany Highway, ORANA , Western Australia",117.8563862,-34.9918934
"250 Albany Highway, CENTENNIAL PARK , Western Australia",117.8790032,-35.0177779
"269 South Western Highway, ARMADALE , Western Australia",116.0179116,-32.1565935
"1001 Joondalup Drive, BANKSIA GROVE , Western Australia",115.8050308,-31.7035455
"34 Jackson Street, BAYSWATER , Western Australia",115.9271043,-31.9062535
"8 Durnin Ave, BEELIAR , Western Australia",115.7963185,-32.1281298
"1128 Albany Highway, BENTLEY , Western Australia",115.9236938,-32.0072457
"1 Timberyard Way, BIBRA LAKE , Western Australia",115.8071302,-32.1167991
"394 Canning Highway, BICTON , Western Australia",115.7927872,-32.0340953
"35 Frank Street, BOULDER , Western Australia",121.4853233,-30.7662508
"71 Cranford Ave, BRENTWOOD , Western Australia",115.8534724,-32.0410616
"19 Napier Tce, BROOME , Western Australia",122.2405115,-17.9549697
"44 Benningfield Road, BULL CREEK , Western Australia",115.8587781,-32.0656348
"9805 Forrest Highway, GLEN IRIS , Western Australia",115.6768497,-33.3363101
"70 Forrest Ave, SOUTH BUNBURY , Western Australia",115.6460272,-33.3406813
"88 Causeway Road, BUSSELTON , Western Australia",115.3568658,-33.6616414
"61 Butler Bvd, BUTLER , Western Australia",115.6989813,-31.6373744
"280 Bannister Road, CANNING VALE , Western Australia",115.8950161,-32.0710784
"1 Johnson Road, BERTRAM , Western Australia",115.8476453,-32.2370768
"269 Stirling Highway, CLAREMONT , Western Australia",115.7847376,-31.982377
"36 Ocean Keys Bvd, CLARKSON , Western Australia",115.717767,-31.6900111
"223 Belmont Ave, CLOVERDALE , Western Australia",115.9329183,-31.9653072
"57 Johnston Street, COLLIE , Western Australia",116.1536764,-33.357514
"47 Church Road, DAMPIER , Western Australia",116.710415,-20.6623976
"67 Walter Road West, DIANELLA , Western Australia",115.8892678,-31.89956
"193 Warwick Road, DUNCRAIG , Western Australia",115.7827833,-31.8358682
"64 Dunn Bay Road, DUNSBOROUGH , Western Australia",115.1070655,-33.6157233
"57 Joondalup Drive, EDGEWATER , Western Australia",115.7740543,-31.7629911
