stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
32,EG Ampol,EG Ampol Glenorchy,"463-465 Main Road, Glenorchy TAS 7010",-42.8294,147.2691,P98,Premium 98,208.9,2022-11-23 14:00:11.020981,2022-11-23
32,EG Ampol,EG Ampol Glenorchy,"463-465 Main Road, Glenorchy TAS 7010",-42.8294,147.2691,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
32,EG Ampol,EG Ampol Glenorchy,"463-465 Main Road, Glenorchy TAS 7010",-42.8294,147.2691,U91,Unleaded 91,186.9,2022-11-23 14:00:11.020981,2022-11-23
33,Caltex Woolworths,Caltex Woolworths Howrah,"242 CLARENCE ST, HOWRAH TAS 7018",-42.8775095,147.3962802,P95,Premium 95,210.9,2022-11-23 14:00:11.020981,2022-11-23
33,Caltex Woolworths,Caltex Woolworths Howrah,"242 CLARENCE ST, HOWRAH TAS 7018",-42.8775095,147.3962802,P98,Premium 98,217.9,2022-11-23 14:00:11.020981,2022-11-23
33,Caltex Woolworths,Caltex Woolworths Howrah,"242 CLARENCE ST, HOWRAH TAS 7018",-42.8775095,147.3962802,PDL,Premium Diesel,246.9,2022-11-23 14:00:11.020981,2022-11-23
33,Caltex Woolworths,Caltex Woolworths Howrah,"242 CLARENCE ST, HOWRAH TAS 7018",-42.8775095,147.3962802,U91,Unleaded 91,195.9,2022-11-23 14:00:11.020981,2022-11-23
34,EG Ampol,EG Ampol Huonville,"45 Main Road, Huonville TAS 7109",-43.03,147.0486,LPG,LPG,132.9,2022-11-23 14:00:11.020981,2022-11-23
34,EG Ampol,EG Ampol Huonville,"45 Main Road, Huonville TAS 7109",-43.03,147.0486,P95,Premium 95,206.9,2022-11-23 14:00:11.020981,2022-11-23
34,EG Ampol,EG Ampol Huonville,"45 Main Road, Huonville TAS 7109",-43.03,147.0486,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
34,EG Ampol,EG Ampol Huonville,"45 Main Road, Huonville TAS 7109",-43.03,147.0486,U91,Unleaded 91,191.9,2022-11-23 14:00:11.020981,2022-11-23
35,EG Ampol, EG Ampol Kingsmeadows,"111 Hobart Road, Kingsmeadows TAS 7249",-41.4651,147.1594,P95,Premium 95,207.9,2022-11-23 14:00:11.020981,2022-11-23
35,EG Ampol, EG Ampol Kingsmeadows,"111 Hobart Road, Kingsmeadows TAS 7249",-41.4651,147.1594,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
35,EG Ampol, EG Ampol Kingsmeadows,"111 Hobart Road, Kingsmeadows TAS 7249",-41.4651,147.1594,U91,Unleaded 91,193.9,2022-11-23 14:00:11.020981,2022-11-23
36,EG Ampol,EG Ampol Kingston,"37-59 Maranoa Road, Kingston TAS 7050",-42.9799431,147.3027728,P95,Premium 95,214.9,2022-11-23 14:00:11.020981,2022-11-23
36,EG Ampol,EG Ampol Kingston,"37-59 Maranoa Road, Kingston TAS 7050",-42.9799431,147.3027728,P98,Premium 98,221.9,2022-11-23 14:00:11.020981,2022-11-23
36,EG Ampol,EG Ampol Kingston,"37-59 Maranoa Road, Kingston TAS 7050",-42.9799431,147.3027728,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
36,EG Ampol,EG Ampol Kingston,"37-59 Maranoa Road, Kingston TAS 7050",-42.9799431,147.3027728,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
37,EG Ampol,EG Ampol Legana,"Corner Freshwater Point Road and Legana Grove, Legana TAS 7277",-41.3639,147.0422,LPG,LPG,131.9,2022-11-23 14:00:11.020981,2022-11-23
37,EG Ampol,EG Ampol Legana,"Corner Freshwater Point Road and Legana Grove, Legana TAS 7277",-41.3639,147.0422,P95,Premium 95,212.9,2022-11-23 14:00:11.020981,2022-11-23
37,EG Ampol,EG Ampol Legana,"Corner Freshwater Point Road and Legana Grove, Legana TAS 7277",-41.3639,147.0422,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
37,EG Ampol,EG Ampol Legana,"Corner Freshwater Point Road and Legana Grove, Legana TAS 7277",-41.3639,147.0422,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
38,EG Ampol,EG Ampol Mowbray,"262 Invermay Road, Mowbray TAS 7248",-41.4050213,147.1342124,P95,Premium 95,203.9,2022-11-23 14:00:11.020981,2022-11-23
38,EG Ampol,EG Ampol Mowbray,"262 Invermay Road, Mowbray TAS 7248",-41.4050213,147.1342124,PDL,Premium Diesel,245.9,2022-11-23 14:00:11.020981,2022-11-23
38,EG Ampol,EG Ampol Mowbray,"262 Invermay Road, Mowbray TAS 7248",-41.4050213,147.1342124,U91,Unleaded 91,189.9,2022-11-23 14:00:11.020981,2022-11-23
39,EG Ampol,EG Ampol New Norfolk,"81 High Street, New Norfolk TAS 7140",-42.7802635,147.0657961,P95,Premium 95,206.9,2022-11-23 14:00:11.020981,2022-11-23
39,EG Ampol,EG Ampol New Norfolk,"81 High Street, New Norfolk TAS 7140",-42.7802635,147.0657961,P98,Premium 98,213.9,2022-11-23 14:00:11.020981,2022-11-23
39,EG Ampol,EG Ampol New Norfolk,"81 High Street, New Norfolk TAS 7140",-42.7802635,147.0657961,PDL,Premium Diesel,238.9,2022-11-23 14:00:11.020981,2022-11-23
39,EG Ampol,EG Ampol New Norfolk,"81 High Street, New Norfolk TAS 7140",-42.7802635,147.0657961,U91,Unleaded 91,191.9,2022-11-23 14:00:11.020981,2022-11-23
